nid,label
0,4
117964,13
117965,27
1,8
2,27
3,6
4,4
5,3
6,28
7,24
8,31
117966,16
9,22
10,16
117968,10
11,24
12,19
13,28
14,14
15,28
16,28
17,27
18,28
19,28
20,3
21,4
22,16
23,10
24,8
25,16
26,22
27,0
28,24
29,16
30,26
31,3
32,8
33,20
34,2
35,28
36,22
37,19
38,28
39,18
40,28
41,28
42,33
43,4
44,28
45,26
117999,6
46,28
47,24
48,20
49,9
50,9
51,8
52,5
53,16
118006,28
54,9
55,28
56,5
57,28
58,28
59,34
60,31
61,16
62,26
63,13
64,28
65,2
118016,31
66,31
67,19
68,3
69,24
70,4
71,23
72,11
118023,28
73,28
74,26
75,24
118026,14
76,0
118027,31
77,24
118029,0
78,6
79,10
80,10
81,28
82,28
83,27
118035,31
84,2
85,28
86,4
87,28
88,23
89,22
90,19
91,26
92,28
93,26
94,8
95,8
96,28
97,16
98,28
99,4
118049,9
100,16
101,10
102,33
103,28
118053,31
104,8
105,4
106,14
107,28
108,31
109,33
110,27
111,23
118061,8
112,19
113,19
114,11
115,10
116,26
117,22
118,2
119,23
120,28
121,28
122,2
123,24
124,28
125,28
126,2
127,28
128,23
129,28
130,22
118079,5
131,8
132,31
133,28
134,8
135,28
136,8
137,28
138,23
139,8
140,5
141,28
142,28
143,19
144,24
145,19
146,9
147,31
148,14
149,8
150,1
151,8
152,8
153,28
154,21
155,2
156,1
157,7
158,24
118102,4
159,23
160,8
161,1
118105,10
162,19
163,28
118107,27
164,26
165,28
118110,16
166,34
167,20
168,26
169,3
170,28
118115,22
171,24
172,26
173,6
174,31
175,16
176,28
177,10
178,22
179,7
180,16
181,28
182,28
183,10
184,34
185,10
186,16
187,2
188,26
189,28
190,28
191,32
192,20
193,22
194,24
195,5
196,10
197,8
198,24
199,11
200,28
201,24
202,34
203,8
204,2
205,26
206,2
207,13
118150,24
208,29
209,19
210,8
211,8
212,3
213,27
214,13
118158,22
215,13
216,28
217,16
218,27
219,16
220,9
221,28
222,16
223,32
224,28
225,16
226,8
227,28
228,2
229,4
230,16
231,16
232,8
233,3
118176,24
234,10
235,28
118179,22
236,8
118181,16
237,16
118182,4
238,16
239,18
240,24
241,28
242,28
243,13
118189,23
118190,23
244,28
245,8
246,6
247,26
248,24
249,28
118196,17
250,28
118198,24
118199,24
251,16
252,8
253,28
254,16
255,19
118204,16
256,33
257,5
258,19
259,24
260,26
261,23
262,27
263,16
118212,22
264,26
265,8
266,4
267,8
268,28
118218,28
269,24
270,19
271,8
272,25
273,28
274,27
275,0
276,26
277,19
278,16
279,24
280,8
281,19
282,24
283,28
284,24
285,19
286,16
287,19
288,19
289,16
290,24
291,26
292,24
293,5
294,1
295,26
296,28
297,16
298,24
299,16
300,26
301,28
302,10
303,28
304,26
305,5
306,26
307,24
308,4
309,4
310,19
118256,16
311,28
312,2
118259,16
314,33
315,25
316,28
317,28
318,2
319,24
320,28
118266,24
322,34
323,4
324,4
325,16
118271,8
326,16
327,26
328,24
118275,28
330,20
331,28
332,24
333,28
334,4
335,16
336,2
337,2
338,5
339,28
340,27
341,2
342,23
343,16
344,8
118291,25
346,27
347,22
348,27
349,19
350,2
351,20
352,10
353,6
354,16
118302,16
118303,6
356,22
357,24
358,6
359,26
118307,25
360,3
361,24
362,24
363,24
364,16
365,21
366,24
367,28
368,15
369,25
370,16
371,28
372,8
373,16
374,16
375,25
376,8
377,4
378,33
379,24
380,4
382,26
383,20
384,19
385,28
386,16
387,8
388,19
118340,10
390,23
391,24
392,24
393,16
394,24
396,16
397,4
398,26
399,16
400,24
401,4
402,24
403,16
404,24
405,4
406,16
407,4
408,16
409,28
410,2
118360,16
412,24
413,16
414,28
415,31
416,3
417,5
418,16
419,28
420,16
421,27
422,24
423,23
424,16
425,28
426,4
428,16
429,28
430,16
431,24
432,3
118382,3
433,3
435,16
437,28
438,19
439,16
440,16
442,28
483,7
506,24
118472,28
118522,28
118597,19
118598,17
118599,21
118600,8
118602,22
118603,28
118604,16
118605,31
118606,5
118607,16
118608,28
118610,31
118611,2
118613,19
118614,24
118615,5
118616,4
118617,2
118618,28
118619,23
118622,16
118623,16
118624,24
118625,26
118626,8
118629,24
118632,16
118634,16
118635,31
118636,31
118637,28
118639,28
118640,24
118641,24
118643,32
118644,5
118647,13
118649,28
118650,28
118651,28
118652,16
118653,28
118654,2
118655,28
118657,10
118660,28
118661,24
118662,14
118663,28
118665,33
118666,9
118667,10
118668,28
118669,28
118670,24
118671,26
118672,16
118673,13
118674,28
118675,27
